season,team,player,age,mp,pts,ht,inches
1998,CHI,Jud Buechler,29,31,8,6-6,78
1998,CHI,Bill Wennington,34,13,4,7-0,84
1998,CHI,Randy Brown,29,7,2,6-2,74
1998,CHI,Dickey Simpkins,25,12,2,6-9,81
1999,SAS,Tim Duncan,22,229,137,6-11,83
1999,SAS,David Robinson,33,185,83,7-1,85
1999,SAS,Mario Elie,35,175,58,6-5,77
1999,SAS,Avery Johnson,33,196,46,5-10,70
1999,SAS,Sean Elliott,30,181,40,6-8,80
1999,SAS,Jaren Jackson,31,96,33,6-4,76
1999,SAS,Antonio Daniels,23,24,10,6-4,76
1999,SAS,Steve Kerr,33,44,9,6-3,75
1999,SAS,Malik Rose,24,64,6,6-7,79
1999,SAS,Jerome Kersey,36,4,2,6-7,79
1999,SAS,Gerard King,26,2,0,6-9,81
2000,LAL,Shaquille O'Neal,27,273,228,7-1,85
2000,LAL,Kobe Bryant,21,176,78,6-6,78
2000,LAL,Glen Rice,32,193,69,6-7,79
2000,LAL,Ron Harper,36,184,65,6-6,78
2000,LAL,Robert Horry,29,182,55,6-9,81
2000,LAL,Rick Fox,30,104,40,6-7,79
2000,LAL,Derek Fisher,25,112,36,6-1,73
2000,LAL,A.C. Green,36,103,30,6-9,81
2000,LAL,Brian Shaw,33,113,18,6-6,78
2000,LAL,Travis Knight,25,9,5,7-0,84
2000,LAL,John Salley,35,13,4,6-11,83
2000,LAL,Devean George,22,3,1,6-8,80
2001,LAL,Shaquille O'Neal,28,225,165,7-1,85
2001,LAL,Kobe Bryant,22,234,123,6-6,78
2001,LAL,Derek Fisher,26,158,49,6-1,73
2001,LAL,Rick Fox,31,164,49,6-7,79
2001,LAL,Robert Horry,30,127,42,6-9,81
2001,LAL,Horace Grant,35,123,26,6-10,82
2001,LAL,Tyronn Lue,23,73,18,6-0,72
2001,LAL,Brian Shaw,34,93,18,6-6,78
2001,LAL,Ron Harper,37,25,13,6-6,78
2001,LAL,Mark Madsen,25,3,0,6-9,81
2002,LAL,Shaquille O'Neal,29,166,145,7-1,85
2002,LAL,Kobe Bryant,23,175,107,6-6,78
2002,LAL,Derek Fisher,27,132,51,6-1,73
2002,LAL,Rick Fox,32,144,39,6-7,79
2002,LAL,Robert Horry,31,159,32,6-9,81
2002,LAL,Devean George,24,72,26,6-8,80
2002,LAL,Brian Shaw,35,65,14,6-6,78
2002,LAL,Samaki Walker,25,24,4,6-9,81
2002,LAL,Lindsey Hunter,31,11,2,6-2,74
2002,LAL,Stanislav Medvedenko,22,9,2,6-10,82
2002,LAL,Mitch Richmond,36,1,2,6-5,77
2002,LAL,Mark Madsen,26,2,0,6-9,81
2003,SAS,Tim Duncan,26,263,145,6-11,83
2003,SAS,Tony Parker,20,212,84,6-2,74
2003,SAS,David Robinson,37,161,65,7-1,85
2003,SAS,Stephen Jackson,24,213,62,6-8,80
2003,SAS,Manu Ginobili,25,172,52,6-6,78
2003,SAS,Malik Rose,28,127,46,6-7,79
2003,SAS,Speedy Claxton,24,75,37,5-11,71
2003,SAS,Bruce Bowen,31,171,20,6-7,79
2003,SAS,Steve Kerr,37,20,8,6-3,75
2003,SAS,Kevin Willis,40,22,8,7-0,84
2003,SAS,Danny Ferry,36,3,0,6-10,82
2003,SAS,Steve Smith,33,1,0,6-7,79
2004,DET,Richard Hamilton,25,222,107,6-6,78
2004,DET,Chauncey Billups,27,192,105,6-3,75
2004,DET,Rasheed Wallace,29,151,65,6-10,82
2004,DET,Ben Wallace,29,203,54,6-9,81
2004,DET,Tayshaun Prince,23,196,50,6-9,81
2004,DET,Corliss Williamson,30,52,21,6-7,79
2004,DET,Lindsey Hunter,33,65,18,6-2,74
2004,DET,Elden Campbell,35,68,17,6-11,83
2004,DET,Mehmet Okur,24,39,11,6-11,83
2004,DET,Mike James,28,22,4,6-2,74
2004,DET,Darvin Ham,30,10,2,6-7,79
2004,DET,Darko Milicic,18,5,0,7-0,84
2005,SAS,Tim Duncan,28,285,144,6-11,83
2005,SAS,Manu Ginobili,27,252,131,6-6,78
2005,SAS,Tony Parker,22,267,97,6-2,74
2005,SAS,Robert Horry,34,200,74,6-9,81
2005,SAS,Bruce Bowen,33,271,55,6-7,79
2005,SAS,Nazr Mohammed,27,158,34,6-10,82
2005,SAS,Brent Barry,33,144,32,6-6,78
2005,SAS,Beno Udrih,22,44,12,6-3,75
2005,SAS,Devin Brown,26,35,11,6-5,77
2005,SAS,Rasho Nesterovic,28,26,2,7-0,84
2005,SAS,Glenn Robinson,32,14,2,6-7,79
2005,SAS,Tony Massenburg,37,9,0,6-9,81
2006,MIA,Dwyane Wade,24,261,208,6-4,76
2006,MIA,Antoine Walker,29,219,83,6-8,80
2006,MIA,Shaquille O'Neal,33,211,82,7-1,85
2006,MIA,Jason Williams,30,188,53,6-1,73
2006,MIA,James Posey,29,177,44,6-8,80
2006,MIA,Udonis Haslem,25,175,39,6-8,80
2006,MIA,Alonzo Mourning,35,66,26,6-10,82
2006,MIA,Gary Payton,37,134,16,6-4,76
2006,MIA,Shandon Anderson,32,31,6,6-6,78
2006,MIA,Michael Doleac,28,1,0,6-11,83
2006,MIA,Jason Kapono,24,2,0,6-8,80
2007,SAS,Tony Parker,24,151,98,6-2,74
2007,SAS,Tim Duncan,30,149,73,6-11,83
2007,SAS,Manu Ginobili,29,117,71,6-6,78
2007,SAS,Bruce Bowen,35,167,24,6-7,79
2007,SAS,Fabricio Oberto,31,83,17,6-10,82
2007,SAS,Francisco Elson,30,46,16,7-0,84
2007,SAS,Michael Finley,33,74,15,6-7,79
2007,SAS,Brent Barry,35,42,12,6-6,78
2007,SAS,Robert Horry,36,88,12,6-9,81
2007,SAS,Jacque Vaughn,31,41,8,6-1,73
2007,SAS,Beno Udrih,24,1,0,6-3,75
2008,BOS,Paul Pierce,30,233,131,6-7,79
2008,BOS,Ray Allen,32,246,122,6-5,77
2008,BOS,Kevin Garnett,31,228,109,6-11,83
2008,BOS,Rajon Rondo,21,162,56,6-1,73
2008,BOS,James Posey,31,151,52,6-8,80
2008,BOS,Leon Powe,24,53,37,6-8,80
2008,BOS,Eddie House,29,74,32,6-1,73
2008,BOS,P.J. Brown,38,117,24,6-11,83
2008,BOS,Kendrick Perkins,23,92,20,6-10,82
2008,BOS,Sam Cassell,38,51,19,6-3,75
2008,BOS,Tony Allen,26,19,8,6-4,76
2008,BOS,Glen Davis,22,15,3,6-9,81
2009,LAL,Kobe Bryant,30,219,162,6-6,78
2009,LAL,Pau Gasol,28,212,93,7-0,84
2009,LAL,Lamar Odom,29,169,67,6-10,82
2009,LAL,Trevor Ariza,23,188,55,6-8,80
2009,LAL,Derek Fisher,34,179,55,6-1,73
2009,LAL,Andrew Bynum,21,95,30,7-0,84
2009,LAL,Luke Walton,28,76,19,6-8,80
2009,LAL,Jordan Farmar,22,57,17,6-2,74
2009,LAL,Josh Powell,26,11,5,6-9,81
2009,LAL,Shannon Brown,23,16,0,6-4,76
2009,LAL,Didier Ilunga-Mbenga,28,6,0,7-0,84
2009,LAL,Sasha Vujacic,24,22,0,6-7,79
2010,LAL,Kobe Bryant,31,288,200,6-6,78
2010,LAL,Pau Gasol,29,293,130,7-0,84
2010,LAL,Metta World Peace,30,251,74,6-6,78
2010,LAL,Derek Fisher,35,214,60,6-1,73
2010,LAL,Lamar Odom,30,192,53,6-10,82
2010,LAL,Andrew Bynum,22,175,52,7-0,84
2010,LAL,Shannon Brown,24,84,21,6-4,76
2010,LAL,Jordan Farmar,23,88,21,6-2,74
2010,LAL,Sasha Vujacic,25,52,21,6-7,79
2010,LAL,Luke Walton,29,31,2,6-8,80
2010,LAL,Didier Ilunga-Mbenga,29,3,0,7-0,84
2010,LAL,Josh Powell,27,8,0,6-9,81
2011,DAL,Dirk Nowitzki,32,242,156,7-0,84
2011,DAL,Jason Terry,33,195,108,6-2,74
2011,DAL,Shawn Marion,32,215,82,6-7,79
2011,DAL,Tyson Chandler,28,224,58,7-1,85
2011,DAL,Jose Barea,26,128,53,6-0,72
2011,DAL,Jason Kidd,37,225,46,6-4,76
2011,DAL,DeShawn Stevenson,29,103,42,6-5,77
2011,DAL,Ian Mahinmi,24,27,9,6-11,83
2011,DAL,Brian Cardinal,33,30,7,6-8,80
2011,DAL,Brendan Haywood,31,25,5,7-0,84
